subject,predicate,object,sentence
John F. Kennedy,father- in- law of,Lee Radziwill,"John Vernou Black Jack Bouvier III ( May 19 , 1891 – August 3 , 1957 ) was American Wall Street stockbroker socialite . He was father of First Lady Jacqueline Kennedy Onassis of socialite Lee Radziwill , was father- in- law of John F. Kennedy ."
Johann Ludwig von Westphalen,father- in- law of,Karl Marx,Johann Ludwig von Westphalen ( 11 July 1770 – 3 March 1842 ) was liberal Prussian civil servant father- in- law of Karl Marx .
John Adams,father- in- law of,Henry Newton,John Adams ( 1672 or 1673 – 1745 ) was American- born Canadian merchant member of Nova Scotia Council . He was father- in- law of Henry Newton ( politician ) .
Harry James Smith,born on,"July 30 , 1888","Harry James Smith ( July 30 , 1888 – November 20 , 1962 ) was American long- distance runner . He was most notable for competing in 1912 Olympics in Stockholm ."
Harry James Smith,father-in-law of,Henry Newton (politician),He was father-in-law of Henry Newton (politician).
Harry James Smith,father-in-law of,Stu Hart,He was father-in-law of Stu Hart.
Hans Barthold Andresen Butenschn,father-in-law of,Ragnhild Butenschn,He was through him father-in-law of Ragnhild Butenschn.
Hans Barthold Andresen Butenschn Jr.,grandfather of,Peter Butenschn,He was through him father-in-law of Ragnhild Butenschn.
Hans Barthold Andresen Butenschn Jr.,son of,Hans Barthold Andresen Butenschn,"Together with Mabel Anette Plahte ( 1877 – 1973 , daughter of Frithjof M. Plahte ) he had son Hans Barthold Andresen Butenschn Jr."
He,took,commerce school,"He took commerce school agricultural school . He was hired in family company N. A. Andresen Co , became co-owner in 1910 . He eventually became chief executive officer . The bank changed its name to Andresens Bank in 1913 merged with Bergens Kreditbank in 1920 . The merger was dissolved later in 1920s . He was also landowner , owning Nedre Skyen farm lot of land in Enebakk . He chaired board of Nydalens Compagnie from 1926 , having not been board member before that . He also chaired supervisory council of Forsikringsselskapet Viking Nedre Glommen salgsforening , was supervisory council member of Filharmonisk Selskap . He was member of gentlemens club SK Fram since 1890 , was proclaimed lifetime member in 1964 . He was buried in Enebakk ."
He,became,co-owner,"He took commerce school agricultural school . He was hired in family company N. A. Andresen Co , became co-owner in 1910 . He eventually became chief executive officer . The bank changed its name to Andresens Bank in 1913 merged with Bergens Kreditbank in 1920 . The merger was dissolved later in 1920s . He was also landowner , owning Nedre Skyen farm lot of land in Enebakk . He chaired board of Nydalens Compagnie from 1926 , having not been board member before that . He also chaired supervisory council of Forsikringsselskapet Viking Nedre Glommen salgsforening , was supervisory council member of Filharmonisk Selskap . He was member of gentlemens club SK Fram since 1890 , was proclaimed lifetime member in 1964 . He was buried in Enebakk ."
He,became,chief executive officer,"He took commerce school agricultural school . He was hired in family company N. A. Andresen Co , became co-owner in 1910 . He eventually became chief executive officer . The bank changed its name to Andresens Bank in 1913 merged with Bergens Kreditbank in 1920 . The merger was dissolved later in 1920s . He was also landowner , owning Nedre Skyen farm lot of land in Enebakk . He chaired board of Nydalens Compagnie from 1926 , having not been board member before that . He also chaired supervisory council of Forsikringsselskapet Viking Nedre Glommen salgsforening , was supervisory council member of Filharmonisk Selskap . He was member of gentlemens club SK Fram since 1890 , was proclaimed lifetime member in 1964 . He was buried in Enebakk ."
N. A. Andresen Co,hired,He,"He took commerce school agricultural school . He was hired in family company N. A. Andresen Co , became co-owner in 1910 . He eventually became chief executive officer . The bank changed its name to Andresens Bank in 1913 merged with Bergens Kreditbank in 1920 . The merger was dissolved later in 1920s . He was also landowner , owning Nedre Skyen farm lot of land in Enebakk . He chaired board of Nydalens Compagnie from 1926 , having not been board member before that . He also chaired supervisory council of Forsikringsselskapet Viking Nedre Glommen salgsforening , was supervisory council member of Filharmonisk Selskap . He was member of gentlemens club SK Fram since 1890 , was proclaimed lifetime member in 1964 . He was buried in Enebakk ."
Andresens Bank,merged,Bergens Kreditbank,"He took commerce school agricultural school . He was hired in family company N. A. Andresen Co , became co-owner in 1910 . He eventually became chief executive officer . The bank changed its name to Andresens Bank in 1913 merged with Bergens Kreditbank in 1920 . The merger was dissolved later in 1920s . He was also landowner , owning Nedre Skyen farm lot of land in Enebakk . He chaired board of Nydalens Compagnie from 1926 , having not been board member before that . He also chaired supervisory council of Forsikringsselskapet Viking Nedre Glommen salgsforening , was supervisory council member of Filharmonisk Selskap . He was member of gentlemens club SK Fram since 1890 , was proclaimed lifetime member in 1964 . He was buried in Enebakk ."
Nydalens Compagnie,board,He,"He took commerce school agricultural school . He was hired in family company N. A. Andresen Co , became co-owner in 1910 . He eventually became chief executive officer . The bank changed its name to Andresens Bank in 1913 merged with Bergens Kreditbank in 1920 . The merger was dissolved later in 1920s . He was also landowner , owning Nedre Skyen farm lot of land in Enebakk . He chaired board of Nydalens Compagnie from 1926 , having not been board member before that . He also chaired supervisory council of Forsikringsselskapet Viking Nedre Glommen salgsforening , was supervisory council member of Filharmonisk Selskap . He was member of gentlemens club SK Fram since 1890 , was proclaimed lifetime member in 1964 . He was buried in Enebakk ."
Forsikringsselskapet Viking Nedre Glommen salgsforening,supervisory council,He,"He took commerce school agricultural school . He was hired in family company N. A. Andresen Co , became co-owner in 1910 . He eventually became chief executive officer . The bank changed its name to Andresens Bank in 1913 merged with Bergens Kreditbank in 1920 . The merger was dissolved later in 1920s . He was also landowner , owning Nedre Skyen farm lot of land in Enebakk . He chaired board of Nydalens Compagnie from 1926 , having not been board member before that . He also chaired supervisory council of Forsikringsselskapet Viking Nedre Glommen salgsforening , was supervisory council member of Filharmonisk Selskap . He was member of gentlemens club SK Fram since 1890 , was proclaimed lifetime member in 1964 . He was buried in Enebakk ."
Filharmonisk Selskap,supervisory council,He,"He took commerce school agricultural school . He was hired in family company N. A. Andresen Co , became co-owner in 1910 . He eventually became chief executive officer . The bank changed its name to Andresens Bank in 1913 merged with Bergens Kreditbank in 1920 . The merger was dissolved later in 1920s . He was also landowner , owning Nedre Skyen farm lot of land in Enebakk . He chaired board of Nydalens Compagnie from 1926 , having not been board member before that . He also chaired supervisory council of Forsikringsselskapet Viking Nedre Glommen salgsforening , was supervisory council member of Filharmonisk Selskap . He was member of gentlemens club SK Fram since 1890 , was proclaimed lifetime member in 1964 . He was buried in Enebakk ."
SK Fram,member,He,"He took commerce school agricultural school . He was hired in family company N. A. Andresen Co , became co-owner in 1910 . He eventually became chief executive officer . The bank changed its name to Andresens Bank in 1913 merged with Bergens Kreditbank in 1920 . The merger was dissolved later in 1920s . He was also landowner , owning Nedre Skyen farm lot of land in Enebakk . He chaired board of Nydalens Compagnie from 1926 , having not been board member before that . He also chaired supervisory council of Forsikringsselskapet Viking Nedre Glommen salgsforening , was supervisory council member of Filharmonisk Selskap . He was member of gentlemens club SK Fram since 1890 , was proclaimed lifetime member in 1964 . He was buried in Enebakk ."
Enebakk,buried,He,"He took commerce school agricultural school . He was hired in family company N. A. Andresen Co , became co-owner in 1910 . He eventually became chief executive officer . The bank changed its name to Andresens Bank in 1913 merged with Bergens Kreditbank in 1920 . The merger was dissolved later in 1920s . He was also landowner , owning Nedre Skyen farm lot of land in Enebakk . He chaired board of Nydalens Compagnie from 1926 , having not been board member before that . He also chaired supervisory council of Forsikringsselskapet Viking Nedre Glommen salgsforening , was supervisory council member of Filharmonisk Selskap . He was member of gentlemens club SK Fram since 1890 , was proclaimed lifetime member in 1964 . He was buried in Enebakk ."
"GroupLogic, Inc.",founded in,1988,"GroupLogic, Inc. , founded in 1988 headquartered in Arlington , Virginia , USA , is enterprise software company that develops , sells supports software for moving storing data including activEcho , mobilEcho , ArchiveConnect , MassTransit ExtremeZ- IP . GroupLogic products are used by information technology organizations to allow employees to access manage corporate files regardless of type of computing platform employee is using to access network . On September 13 , 2012 , GroupLogic announced that it became subsidiary of Acronis , software company specializing in backup disaster recovery products services . It was established in 1963 . MK One was British fashion retailer . Of 4 New Hampshire incumbents , only one was re-elected . Sobotite is village municipality in Senica District in Trnava Region of western Slovakia . In 1845 there was established first cooperative in Europe by Samuel Jurkovi ( Spolok gazdovsk ) . Of 5 New Jersey incumbents , only one was re-elected . InBios International , Inc. is medical diagnostic company based in Seattle that specializes in detection of infectious diseases . The company was founded in 1996 , since its inception has developed several technologies useful in designing rapid ELISA based immunodiagnostic assays ."
Acronis,"acquired GroupLogic, Inc. on","September 13, 2012","GroupLogic announced that it became subsidiary of Acronis , software company specializing in backup disaster recovery products services . It was established in 1963 . MK One was British fashion retailer . Of 4 New Hampshire incumbents , only one was re-elected . Sobotite is village municipality in Senica District in Trnava Region of western Slovakia . In 1845 there was established first cooperative in Europe by Samuel Jurkovi ( Spolok gazdovsk ) . Of 5 New Jersey incumbents , only one was re-elected . InBios International , Inc. is medical diagnostic company based in Seattle that specializes in detection of infectious diseases . The company was founded in 1996 , since its inception has developed several technologies useful in designing rapid ELISA based immunodiagnostic assays ."
Samuel Jurkovi,established first cooperative in Europe in,1845,"In 1845 there was established first cooperative in Europe by Samuel Jurkovi ( Spolok gazdovsk ) . Of 4 New Hampshire incumbents , only one was re-elected . Sobotite is village municipality in Senica District in Trnava Region of western Slovakia . In 1845 there was established first cooperative in Europe by Samuel Jurkovi ( Spolok gazdovsk ) . Of 5 New Jersey incumbents , only one was re-elected . InBios International , Inc. is medical diagnostic company based in Seattle that specializes in detection of infectious diseases . The company was founded in 1996 , since its inception has developed several technologies useful in designing rapid ELISA based immunodiagnostic assays ."
Of 5 New Jersey incumbents,was re-elected,one,"InBios International , Inc. is medical diagnostic company based in Seattle that specializes in detection of infectious diseases . Of 5 New Jersey incumbents , only one was re-elected ."
"InBios International, Inc.",specializes in,detection of infectious diseases,"InBios International , Inc. is medical diagnostic company based in Seattle that specializes in detection of infectious diseases ."
"InBios International, Inc.",was founded in,1996,"The company was founded in 1996 , since its inception has developed several technologies useful in designing rapid ELISA based immunodiagnostic assays ."
"InBios International, Inc.",developed several technologies,useful in designing rapid ELISA based immunodiagnostic assays,"InBios International , Inc. is medical diagnostic company based in Seattle that specializes in detection of infectious diseases . Since its inception has developed several technologies useful in designing rapid ELISA based immunodiagnostic assays ."
"InBios International, Inc.",announced clearance of its IgM test for dengue fever,DENV Detect IgM Capture ELISA,"InBios International announced clearance of its IgM test for dengue fever , DENV Detect IgM Capture ELISA ."
"InBios International, Inc.",manufactures tests for other infectious diseases,"Leishmaniasis , Chagas disease , Scrub Typhus , Leptospirosis , Malaria , West Nile","The company also manufactures tests for other infectious diseases , including Leishmaniasis , Chagas disease , Scrub Typhus , Leptospirosis , Malaria , West Nile ."
Nepal Multipurpose Cooperative Society Ltd.,was established in,1994 March 8,The Nepal Multipurpose Cooperative Society Ltd. was established in 1994 March 8 by 26 Founder Members .
Bigelow v. Commonwealth of Virginia,was a case that established,First Amendment protection for advertising,"Bigelow v. Commonwealth of Virginia , 421 U.S. 809 ( 1975 ) , was United States Supreme Court case that established First Amendment protection for advertising ."
Nepal Multipurpose Cooperative Society Ltd.,was established on,1994 March 8,The Nepal Multipurpose Cooperative Society Ltd. was established in 1994 March 8 by 26 Founder Members . It was established first with Shree Bachat Tatha Rin Sahakari Sanstha Li . received authorization from Nepal Rastra Bank to run Limited Banking transactions . Later Name was changed to Nepal Multipurpose Cooperative Society Ltd .
Nepal Multipurpose Cooperative Society Ltd.,was established by,26 Founder Members,The Nepal Multipurpose Cooperative Society Ltd. was established in 1994 March 8 by 26 Founder Members . It was established first with Shree Bachat Tatha Rin Sahakari Sanstha Li . received authorization from Nepal Rastra Bank to run Limited Banking transactions . Later Name was changed to Nepal Multipurpose Cooperative Society Ltd .
Shree Bachat Tatha Rin Sahakari Sanstha Li,was the first establishment of,Nepal Multipurpose Cooperative Society Ltd.,The Nepal Multipurpose Cooperative Society Ltd. was established in 1994 March 8 by 26 Founder Members . It was established first with Shree Bachat Tatha Rin Sahakari Sanstha Li . received authorization from Nepal Rastra Bank to run Limited Banking transactions . Later Name was changed to Nepal Multipurpose Cooperative Society Ltd .
Brian Patrick Kennedy,born on,5 November 1961,"Brian Patrick Kennedy ( born 5 November 1961 ) is Irish- born art museum director who has worked in Ireland Australia , now lives works in United States ."
Christopher Blake,was born on,23 August 1949,Christopher Blake ( 23 August 1949 – 11 December 2004 ) was English actor screenwriter .
Christopher Blake,died on,11 December 2004,Christopher Blake ( 23 August 1949 – 11 December 2004 ) was English actor screenwriter .
Sir John Christopher Blake Richmond,was born on,7 September 1909,Sir John Christopher Blake Richmond ( 7 September 1909 – 6 July 1990 ) was British diplomat author specialising in Middle Eastern studies .
Sir John Christopher Blake Richmond,died on,6 July 1990,Sir John Christopher Blake Richmond ( 7 September 1909 – 6 July 1990 ) was British diplomat author specialising in Middle Eastern studies .
Jesse Edward Hobson,was born on,"May 2 , 1911","Jesse Edward Hobson ( May 2 , 1911 – November 5 , 1970 ) was director of SRI International from 1947 to 1955 . Prior to SRI , he was director of Armour Research Foundation ."
Jesse Edward Hobson,died on,"November 5 , 1970","Jesse Edward Hobson ( May 2 , 1911 – November 5 , 1970 ) was director of SRI International from 1947 to 1955 . Prior to SRI , he was director of Armour Research Foundation ."
Jesse Edward Hobson,born on,"May 2, 1911","Jesse Edward Hobson ( May 2 , 1911 – November 5 , 1970 ) was director of SRI International from 1947 to 1955 . Prior to SRI , he was director of Armour Research Foundation . Olav Aaraas ( born 10 July 1950 ) is Norwegian historian museum director . He was born in Fredrikstad . From 1982 to 1993 he was director of Sogn Folk Museum , from 1993 to 2010 he was director of Maihaugen from 2001 he has been director of Norwegian Museum of Cultural History . In 2010 he was decorated with Royal Norwegian Order of St. Olav . Major-General John Christopher Blake Sutherell CB CBE DL ( born 23 October 1947 ) is former British Army officer who became Commandant of Royal Military College of Science . The Decision of Christopher Blake is 1948 American drama film based upon Moss Hart play . It was adapted by Ranald MacDougall directed by Peter Godfrey . The film stars Alexis Smith , Robert Douglas , Cecil Kellaway , Ted Donaldson , John Hoyt Harry Davenport was released by Warner Bros. on December 23 , 1948 ."
Jesse Edward Hobson,died on,"November 5, 1970","Jesse Edward Hobson ( May 2 , 1911 – November 5, 1970 ) was director of SRI International from 1947 to 1955 . Prior to SRI , he was director of Armour Research Foundation . Olav Aaraas ( born 10 July 1950 ) is Norwegian historian museum director . He was born in Fredrikstad . From 1982 to 1993 he was director of Sogn Folk Museum , from 1993 to 2010 he was director of Maihaugen from 2001 he has been director of Norwegian Museum of Cultural History . In 2010 he was decorated with Royal Norwegian Order of St. Olav . Major-General John Christopher Blake Sutherell CB CBE DL ( born 23 October 1947 ) is former British Army officer who became Commandant of Royal Military College of Science . The Decision of Christopher Blake is 1948 American drama film based upon Moss Hart play . It was adapted by Ranald MacDougall directed by Peter Godfrey . The film stars Alexis Smith , Robert Douglas , Cecil Kellaway , Ted Donaldson , John Hoyt Harry Davenport was released by Warner Bros. on December 23 , 1948 ."
Jesse Edward Hobson,was director of,SRI International,"Jesse Edward Hobson ( May 2 , 1911 – November 5 , 1970 ) was director of SRI International from 1947 to 1955 . Prior to SRI , he was director of Armour Research Foundation . Olav Aaraas ( born 10 July 1950 ) is Norwegian historian museum director . He was born in Fredrikstad . From 1982 to 1993 he was director of Sogn Folk Museum , from 1993 to 2010 he was director of Maihaugen from 2001 he has been director of Norwegian Museum of Cultural History . In 2010 he was decorated with Royal Norwegian Order of St. Olav . Major-General John Christopher Blake Sutherell CB CBE DL ( born 23 October 1947 ) is former British Army officer who became Commandant of Royal Military College of Science . The Decision of Christopher Blake is 1948 American drama film based upon Moss Hart play . It was adapted by Ranald MacDougall directed by Peter Godfrey . The film stars Alexis Smith , Robert Douglas , Cecil Kellaway , Ted Donaldson , John Hoyt Harry Davenport was released by Warner Bros. on December 23 , 1948 ."
Olav Aaraas,born on,10 July 1950,"Olav Aaraas ( born 10 July 1950 ) is Norwegian historian museum director . He was born in Fredrikstad . From 1982 to 1993 he was director of Sogn Folk Museum , from 1993 to 2010 he was director of Maihaugen from 2001 he has been director of Norwegian Museum of Cultural History . In 2010 he was decorated with Royal Norwegian Order of St. Olav . Major-General John Christopher Blake Sutherell CB CBE DL ( born 23 October 1947 ) is former British Army officer who became Commandant of Royal Military College of Science . The Decision of Christopher Blake is 1948 American drama film based upon Moss Hart play . It was adapted by Ranald MacDougall directed by Peter Godfrey . The film stars Alexis Smith , Robert Douglas , Cecil Kellaway , Ted Donaldson , John Hoyt Harry Davenport was released by Warner Bros. on December 23 , 1948 ."
Olav Aaraas,is from,Fredrikstad,"Olav Aaraas ( born 10 July 1950 ) is Norwegian historian museum director . He was born in Fredrikstad . From 1982 to 1993 he was director of Sogn Folk Museum , from 1993 to 2010 he was director of Maihaugen from 2001 he has been director of Norwegian Museum of Cultural History . In 2010 he was decorated with Royal Norwegian Order of St. Olav . Major-General John Christopher Blake Sutherell CB CBE DL ( born 23 October 1947 ) is former British Army officer who became Commandant of Royal Military College of Science . The Decision of Christopher Blake is 1948 American drama film based upon Moss Hart play . It was adapted by Ranald MacDougall directed by Peter Godfrey . The film stars Alexis Smith , Robert Douglas , Cecil Kellaway , Ted Donaldson , John Hoyt Harry Davenport was released by Warner Bros. on December 23 , 1948 ."
Olav Aaraas,was director of,Sogn Folk Museum,"Olav Aaraas ( born 10 July 1950 ) is Norwegian historian museum director . He was born in Fredrikstad . From 1982 to 1993 he was director of Sogn Folk Museum , from 1993 to 2010 he was director of Maihaugen from 2001 he has been director of Norwegian Museum of Cultural History . In 2010 he was decorated with Royal Norwegian Order of St. Olav . Major-General John Christopher Blake Sutherell CB CBE DL ( born 23 October 1947 ) is former British Army officer who became Commandant of Royal Military College of Science . The Decision of Christopher Blake is 1948 American drama film based upon Moss Hart play . It was adapted by Ranald MacDougall directed by Peter Godfrey . The film stars Alexis Smith , Robert Douglas , Cecil Kellaway , Ted Donaldson , John Hoyt Harry Davenport was released by Warner Bros. on December 23 , 1948 ."
Olav Aaraas,was director of,Maihaugen,"Olav Aaraas ( born 10 July 1950 ) is Norwegian historian museum director . He was born in Fredrikstad . From 1982 to 1993 he was director of Sogn Folk Museum , from 1993 to 2010 he was director of Maihaugen from 2001 he has been director of Norwegian Museum of Cultural History . In 2010 he was decorated with Royal Norwegian Order of St. Olav . Major-General John Christopher Blake Sutherell CB CBE DL ( born 23 October 1947 ) is former British Army officer who became Commandant of Royal Military College of Science . The Decision of Christopher Blake is 1948 American drama film based upon Moss Hart play . It was adapted by Ranald MacDougall directed by Peter Godfrey . The film stars Alexis Smith , Robert Douglas , Cecil Kellaway , Ted Donaldson , John Hoyt Harry Davenport was released by Warner Bros. on December 23 , 1948 ."
Olav Aaraas,has been director of,Norwegian Museum of Cultural History,"Olav Aaraas ( born 10 July 1950 ) is Norwegian historian museum director . He was born in Fredrikstad . From 1982 to 1993 he was director of Sogn Folk Museum , from 1993 to 2010 he was director of Maihaugen from 2001 he has been director of Norwegian Museum of Cultural History . In 2010 he was decorated with Royal Norwegian Order of St. Olav . Major-General John Christopher Blake Sutherell CB CBE DL ( born 23 October 1947 ) is former British Army officer who became Commandant of Royal Military College of Science . The Decision of Christopher Blake is 1948 American drama film based upon Moss Hart play . It was adapted by Ranald MacDougall directed by Peter Godfrey . The film stars Alexis Smith , Robert Douglas , Cecil Kellaway , Ted Donaldson , John Hoyt Harry Davenport was released by Warner Bros. on December 23 , 1948 ."
Ranald MacDougall,adapted by,Peter Godfrey,It was adapted by Ranald MacDougall directed by Peter Godfrey .
Peter Godfrey,directed,Peter Godfrey,It was adapted by Ranald MacDougall directed by Peter Godfrey .
Peter Godfrey,born on,16 October 1899,Peter Godfrey ( 16 October 1899 – 4 March 1970 ) was English actor film director .
Peter Godfrey,died on,4 March 1970,Peter Godfrey ( 16 October 1899 – 4 March 1970 ) was English actor film director .
Peter Godfrey,was,English actor film director,Peter Godfrey ( 16 October 1899 – 4 March 1970 ) was English actor film director .
Peter Godfrey,founded,experimental Gate Theatre Studio in 1925,"Founder of experimental Gate Theatre Studio in 1925 , he staged Londons first expressionistic production in following year ."
Peter Godfrey,staged,Londons first expressionistic production in 1926,"Founder of experimental Gate Theatre Studio in 1925 , he staged Londons first expressionistic production in following year ."
Peter Godfrey,moved to,Hollywood,"Eventually moving to Hollywood , he established career as film actor director ."
Peter Godfrey,established career as,film actor director,"Eventually moving to Hollywood , he established career as film actor director ."
Peter Godfrey,was,"American director of film , television theatre",Peter Godfrey ( 16 October 1899 – 4 March 1970 ) was English actor film director .
John Farrell,is director of,YouTube in Latin America,John Farrell is director of YouTube in Latin America .
Marcel Brands,is Dutch former professional footballer,Director of Football at English club Everton,Marcel Brands ( born 1962 ) is Dutch former professional footballer who is Director of Football at English club Everton .
Laurent Le Bon,is French art historian,director of Muse Picasso,Laurent Le Bon ( born 2 April 1969 ) is French art historian who is director of Muse Picasso .
Eric Chan Kwok-ki,is Hong Kong civil servant,Director of Chief Executives Office,"Eric Chan Kwok-ki , SBS , IDSM ( born 1959 ) is Hong Kong civil servant who is Director of Chief Executives Office ."
Eric Chan Kwok-ki,was Director of Immigration,2011–2016,"Previously , Chan was Director of Immigration ( 2011–2016 ) ."
Anjan Choudhury,was Bengali film director,writer,"Anjan Choudhury ( 25 November 1944 – 21 February 2007 ) was Bengali film director , writer , screenplay writer ."
Anjan Choudhury,was survived by his wife Jaysree Choudhury,two daughters,He was survived by his wife Jaysree Choudhury two daughters .
Anjan Choudhury,had an elder son in law Sajal,Rina Choudhury,"His two daughters , namely Chumki Chowdhury ( elder ) Rina Choudhury , his elder son in law Sajal ."
Anjan Choudhury,had a son Sandip Choudhury,T.V serial film director,His son Sandip Choudhury is T.V serial film director .
Anjan Choudhury,had a daughter in law Bidisha Choudhury,film actor,His daughter in law Bidisha Choudhury is also film actor .
Dana Blankstein-Cohen,is director of Israeli Academy of Film Television,film director,"Dana Blankstein- Cohen ( born March 3 , 1981 ) is director of Israeli Academy of Film Television ."
Dana Blankstein-Cohen,is Israeli culture entrepreneur,film director,"Dana Blankstein- Cohen ( born March 3 , 1981 ) is director of Israeli Academy of Film Television ."
His son Sandip Choudhury,is,T.V serial film director,"His son Sandip Choudhury is T.V serial film director . His daughter in law Bidisha Choudhury is also film actor . Dana Blankstein- Cohen ( born March 3 , 1981 ) is director of Israeli Academy of Film Television . She is film director , Israeli culture entrepreneur . Peter Levin is American director of film , television theatre . Michael Govan ( born 1963 ) is director of Los Angeles County Museum of Art since 2006 . Prior to this , Govan worked as director of Dia Art Foundation in New York City . Mukhyamantri is 1996 Bengali famous film directed by Anjan Choudhury . This films music was composed by Mrinal Bandhyopadhay . Ian Barry is Australian director of film TV ."
